# File generated on : 2021-01-18 14:52:26.129860 by damien-mouad 
#  O3,NO2,SO2,CO
7.724972074225864294e-01,1.043112446239739532e-01,8.194638655580410713e-01,2.008915642165968671e-02
8.010448912838958879e-01,2.016439200609707605e-01,7.226752729893388683e-01,2.803738649634241464e-01
9.832779428902578278e-01,1.014520803953785855e+00,7.103770809339933212e-01,2.116930777081863779e-01
7.278318132784256100e-02,5.819101095997284423e-01,2.638181877988941548e-01,4.079517079821293191e-02
3.413198970872610705e-02,-5.181576901448536887e-01,4.176457128762361970e-02,3.627413680740710356e-01
5.251350544384998376e-01,1.020598859165484207e+00,1.055223098135935622e+00,1.367680394306508215e-02
5.245215921020685013e-02,2.129189961106162876e+00,1.078204110526097270e-02,6.176148946127359984e-01
7.335932482141893640e-01,9.262363848751211659e-01,5.734221662828581367e-01,1.217893617480345914e-01
4.849848138904270245e-01,1.062688943238546013e+00,7.879887826793515737e-01,5.170889409500186717e-01
8.385709173189371812e-01,1.634701699570755062e+00,1.049023429703307864e+00,2.102648653088444508e+00
7.781153808003357097e-01,1.361355868631902943e+00,1.277435469324160744e+00,8.967031041524413659e-01
6.593879198610531622e-01,5.498249268058469363e-01,1.945185935557430454e-03,4.043422847011069465e-01
4.294232685655965387e-01,1.110062200850035152e+00,8.300254928045706915e-02,1.004258108997912569e+00
3.005833541606590664e-01,4.382161769483627900e-02,1.703141404846543638e+00,4.101164849378355348e-01
6.594676250840508791e-01,1.292926904936112287e+00,2.629326095997900833e-02,1.555051623039815367e-01
4.481566708562236823e-01,1.444367104911792321e+00,2.637444273195716990e-03,1.312068795449158998e+00
1.912294389677701156e-01,4.779307942374509954e-01,1.046526960816136942e+00,1.095497889083511200e+00
5.160109944207732502e-01,3.927055243846892529e-01,7.220106428405154153e-01,3.738015479747276437e+00
2.398374778419132269e-02,1.181892677177300843e+00,2.320033669265404885e+00,5.433376919916831360e-01
5.358697455986031200e-01,-7.730066791354150979e-02,3.230806654288677620e-03,2.546137454882945184e-01
4.448016897554611937e-01,5.564891644153712180e-01,5.699368179612082641e-02,2.027363356040297937e+00
8.422100808413710560e-01,1.650802729760336707e-01,3.605367598836799470e-01,1.189733188744129672e-01
9.210470267504254904e-01,1.130629334061821201e+00,7.693420326606524584e-02,6.192829545015859916e-01
1.293863540061114259e-01,-1.657866409430174270e-01,3.194721444616272377e-03,2.712806462205236691e-01
4.433697402846750180e-01,-2.825693666870096044e-01,6.376009694202691702e-02,7.626192351753805498e-01
7.676367626792633958e-01,-3.089597877237147960e-01,7.432876065238656071e-01,2.997580983102297036e+00
9.677772894681511140e-01,6.394993818582441758e-01,1.209977563730821239e-03,3.278638549413676832e-03
1.906980196598428989e-02,5.946434709295171928e-01,8.150541449547109296e-02,5.454295306248784225e-01
4.767452217273585591e-01,8.858265446914106445e-01,1.179974190787440730e-01,5.497794848811357049e-01
1.752262492777749703e-01,6.306802342252484372e-01,1.797681282378101875e-01,1.008712187608013844e+00
5.692203434013319852e-01,9.734218630789339688e-01,8.180868603916540138e-01,1.511911261651176286e+00
2.139401396795740373e-01,-7.629345068916417727e-01,2.587855855151470319e+00,7.747393259302380875e-01
3.056614444791543317e-01,-2.121194626794266291e+00,1.010611556624074092e+00,3.459068164000976275e-01
2.587169054943927460e-01,-2.688271143803652174e-01,2.574793423003175485e-01,3.103263282895403763e-01
2.761188617917667010e-01,5.498900869232113964e-01,1.121866669245195625e-01,7.038393207895042858e-01
8.118205721097526695e-01,6.906500161204206512e-01,2.111332298722299466e-02,1.217565351508637095e+00
7.394341267590661682e-01,1.693297967131909498e+00,5.924807290092051204e+00,2.882075774257376377e+00
8.609505424452258415e-01,-6.043547716360750943e-01,5.695780021630203471e-01,4.083421547577888860e-02
1.029161531965239185e-01,1.645612231766837019e-01,8.031411357047567590e-01,4.799342259014879319e-01
2.560067030641410835e-02,9.428193636619202067e-01,1.024885494438027705e-02,1.558070281020937087e-01
9.327965917277872832e-01,-1.129369481588243129e+00,3.622397015086726291e-01,1.885133912340213991e+00
5.538011649835412609e-01,-1.171927666342675867e-01,2.622294101552734569e-01,2.878905962783955830e-01
9.598070792480598579e-01,-1.969687520287584093e+00,3.562604125598494154e-01,6.248358550337893003e-02
8.951320161908425943e-01,4.705330886426469794e-01,1.422234414013153314e+00,5.887483066424114009e-01
5.150840539972524335e-01,5.246876597922304208e-01,8.510572698665176683e-02,1.034928299695637932e+00
1.018278663922254079e-01,6.201913205286690989e-01,3.092593542460281286e-01,7.132303901838539240e-01
1.656905831047617017e-01,7.641594316977355916e-01,2.457001283683427116e-04,2.765273262179619884e+00
9.000695706139176799e-01,9.494893737447143156e-01,1.107567739599763179e+00,5.335695954081721704e-01
8.733442891548494069e-01,7.040923209406919625e-01,7.124586750308821610e-03,1.359133249213312578e+00
9.993493627749070463e-01,-6.195497211170186702e-03,1.410279730347734906e-01,2.602233649000169069e-01
6.978594323813049893e-01,1.257512948780992623e+00,3.110702398603666652e-02,8.014336422073430333e-01
8.418902167649856549e-01,1.157835316545870463e-01,5.869901889128220640e-01,3.032573259137495980e-01
7.945164527776376051e-01,2.839306935280753175e-01,4.844021240109024906e-01,3.551414223880346444e-01
3.899263020525017831e-01,2.218598876788256291e+00,8.348092242082642833e-02,1.174150739115521702e+00
6.643620546115373005e-01,2.279835171481364497e+00,1.339725693931703059e-03,6.388800797231399820e-01
7.324334551116035152e-01,8.273671869312515526e-01,5.322139748394618883e-03,1.055134445525768072e+00
7.700876330301625883e-01,-1.105885072213558251e+00,4.127505428920715813e-01,5.702663797698576814e-02
1.075886955630678266e-01,2.107361094609241370e+00,4.354416024674067631e-01,2.236353671339290083e-01
6.914273702004801736e-01,9.828978852953118572e-01,5.384145372996034656e-02,3.460077217045140152e+00
6.571304870021031919e-01,8.420985197362246266e-01,8.873650141219778520e-02,2.233795246273663215e-01
2.499868484007966574e-01,-1.350892955070405188e-01,2.672248750038074827e-01,1.887555294817336027e-01
8.502962574826644637e-01,9.719945457720955417e-01,9.689017233645700333e-01,3.004385762314379718e-02
5.193138375859820410e-01,8.354759761562874365e-01,3.127001021433613304e-02,4.503158473094010517e-01
9.367382324948148042e-01,1.633486923201896035e+00,1.410557735334948104e+00,1.323443862985692610e+00
4.815377843746466713e-01,1.041357452042153131e+00,1.071570784454249470e+00,1.793552731910775244e-01
1.269356381637744002e-01,-9.246343067815179229e-01,2.346354751262048552e-02,7.142976970233761991e-01
3.847475256042606206e-01,7.087789543733064024e-02,5.264002000523694269e-01,2.918722782792713577e+00
1.388205659519641255e-01,1.352301924393787491e+00,4.466203000074583929e-02,2.758197586897261910e+00
4.820152347531915238e-01,1.026229532264891331e+00,1.847298380528999279e-02,2.363540068741847300e+00
6.996981505164517889e-01,2.776308861122182003e-01,3.332306902461193987e-01,2.861925513825383405e+00
4.919227959146339479e-01,-7.949877090042416494e-01,9.142358704000820291e-01,3.808866030591757657e-01
9.870516153096335898e-01,2.122901236776948863e+00,6.168610992257095305e-02,6.863591618711216702e-01
3.862905070788195117e-01,-1.279207981516744308e+00,2.825174065529123188e-02,1.044182279346887787e+00
3.801128117216173719e-01,2.141049279343882450e+00,6.379381382698851022e-02,1.364662969580557439e+00
3.898936113240337731e-01,-2.228528918939822745e-01,1.035811077373636618e-01,1.431610237249575368e+00
2.716475513258088670e-01,-1.039412589046907254e+00,1.870821108815343692e-01,4.925273231461526624e-01
4.854223510175572631e-01,1.801310484603864781e+00,1.167580481440305901e-03,4.797649691455279086e-01
1.040162515337303972e-01,-3.201660864895131686e-01,6.786608186741842352e-02,1.585515123947716987e+00
6.267720273927990249e-01,9.835599809841193419e-01,2.227202957544257567e-01,2.392812872545338754e-01
2.623652945134928860e-01,5.566390326572676628e-01,1.867618976319204704e-01,4.851088615151371464e+00
8.797880047526969172e-01,1.701509578531410050e+00,4.532377659122563407e-01,6.140088569986430489e-01
6.796947320503498036e-01,4.879808092616640391e-01,2.986222390981423417e-04,1.791220288529849602e+00
7.299821438179088240e-01,5.318889673343550895e-01,7.997700879005963381e-01,3.189203776803903434e+00
2.728079672402101696e-01,-2.266058243227523583e+00,1.551100424312332970e+00,3.898572726362161234e+00
3.166221190577989120e-02,2.605866253529952381e+00,4.998122131485432940e-01,1.928759401276324281e+00
4.883800734076936267e-01,-1.127817042258654201e-01,1.762527049652861666e-01,4.179213590377292564e-01
2.584139574497728020e-01,-6.414149570532259315e-01,4.655545741335983534e-01,2.094109497664869979e-01
1.494250378612360652e-02,9.739422123685337329e-01,2.324807764180496505e+00,3.409025028977664684e-01
9.361294478235214767e-01,2.949789952420236450e+00,9.340228416077783757e-01,1.964431281506131555e+00
5.368536666250685041e-01,-9.805800561542816762e-01,2.336359384263411720e-01,3.947595167748833012e-01
3.416474757887294489e-01,-5.534040855564987815e-01,3.112603016923643828e+00,1.902423076186309236e-01
5.148877579441811791e-01,-1.134546546321696825e+00,2.730318146827798720e-01,1.818083602300754886e-01
3.610511473417945538e-01,2.949488981667754750e+00,1.309552655076854588e+00,1.813672974993940867e+00
2.548228712914223371e-01,8.611100894228516101e-01,4.662527041378429216e-01,1.508217428732599785e+00
6.980429211676912882e-01,1.809033366183763647e+00,3.882096227393614374e-01,6.899480143942025023e-01
5.151529827339209611e-01,-4.341736529811646150e-02,6.036941839630019513e-02,1.121712429777695252e+00
3.152974050639356651e-01,-4.930561991478421557e-01,5.137443545621860758e-02,5.314313509989329054e-01
9.486975413975031746e-01,6.700556867402753802e-01,8.758440414556775341e-03,1.828794849914654241e+00
9.034202204728247754e-01,3.308379420096385637e-01,3.151755056375028785e-02,1.323348207686852573e+00
7.418511356519624789e-01,1.895679127735135694e+00,1.993915849368045265e-02,1.275427861466681634e+00
7.338865255551686451e-01,5.115815278626701934e-01,2.431174280314917446e+00,7.706542114807736210e-01
6.770478638390931003e-01,5.389066388601927438e-01,3.776329122837117636e-01,4.393240049447066919e-02
9.635311318612094222e-01,-1.206976843266632793e-01,6.673572600442808644e-01,1.494529811047764722e+00
8.855170018762960060e-01,1.063802646338810831e+00,7.578443982920249344e-02,3.388818133536874999e-01
6.795776063983529625e-01,-1.685979041276971513e-01,3.526668334837539803e-02,6.781053731370279003e-01
5.019353488410973618e-01,4.383611945737869720e-01,1.151712376534882454e+00,8.953790212193620812e-01
5.875375145728179982e-01,6.893735689672928491e-01,6.505268070904967059e-01,4.843296313195795677e-01
7.322401317324659376e-01,-7.279027559957813587e-01,1.101297997074913125e-02,1.358918515933671634e+00
3.573977073880771904e-01,-1.243020995332317025e+00,6.288504989327626214e-03,7.096085741582119910e-01
4.166373266127895159e-01,9.486496118576399628e-01,8.124411502573687660e-02,3.542080981254291938e+00
8.275885189057627933e-01,-3.232310046125652647e-01,1.977863920082712779e-01,1.440220310701699313e+00
8.118406260442800892e-02,-1.533089934423165213e-01,1.779329528370482971e-01,1.835631875129363877e+00
2.555694838774029698e-01,1.581685899352221814e+00,4.568994348217557122e-01,7.905546526523578033e-01
9.045584979115112167e-01,7.326083275259279715e-01,3.859796917126851468e-01,1.573310454780234791e+00
4.710888099475760704e-01,2.533756363880335649e-01,2.628274814754137712e+00,1.299723390030857351e+00
4.120087150040420143e-01,9.306441273549739268e-01,4.652568290086524172e+00,6.363607146127715497e-01
4.372203513497642247e-01,-8.254901776224732313e-01,1.359716732781675839e-02,3.126129549726462731e+00
1.658098978242639188e-02,-1.124506763787422203e+00,1.466720502194157616e-01,3.647297318583450632e-01
2.158277128359498143e-02,1.170620339304061064e+00,9.384978640736948430e-01,3.237960645240907653e-01
8.032605658805876958e-01,2.296590862827385671e+00,1.081798871567375264e-03,4.891116375209255906e+00
4.335569341908508401e-01,1.099522491604860708e+00,3.046425482499012238e-01,9.264588933961716288e-02
1.455204779917749214e-01,2.009451189496274992e+00,5.654590640798211609e-01,5.576909634089730616e+00
7.462659945760169444e-01,1.220816029101779998e+00,8.790105873854795263e-03,7.379097026357865907e-01
6.449665791877503551e-01,4.386822171281495319e-01,1.054813462164942532e-02,3.953617105401961013e-02
8.980600104506142323e-02,4.777144613028270204e-01,1.492081925666015763e-03,4.299170254302169702e+00
9.511593803338536102e-02,-1.220873117769516014e+00,1.632393022836298169e+00,1.624257664743762541e+00
8.776574607006109030e-01,-7.827808898164663187e-01,6.019803514376582260e-02,4.804804541344594448e-01
7.635077904878300181e-01,-3.164220497103393814e-01,2.647037734362364669e-01,3.253555567339370680e-01
5.475407585445866143e-01,3.987111604388940966e-01,2.985227147918162460e-01,9.597045548769070900e-01
4.583607537740317373e-01,5.914210520887597244e-02,1.546360925392449293e-01,3.884244468872555811e-01
8.870668666017992310e-01,-4.214921854740041329e-01,2.403551931422323595e-02,6.934395064484018267e-02
6.702722398513910607e-01,4.174940885566097437e-01,1.803496765568565752e-01,1.555547410637000694e-01
5.589567192895458225e-01,1.010094985828768221e+00,3.118054057365203802e-01,6.178472091915866438e-01
7.145973960563209992e-01,-5.783549815676078953e-01,2.266629071716482272e-02,1.014215292411592140e+00
6.129932553722068356e-01,-7.009018435287182047e-01,1.183320173055789404e+00,4.077563465725675407e+00
6.776015659606610120e-01,1.091881415909890185e+00,1.431838644304738728e-01,5.695815945406167424e-01
6.699099370348552407e-01,8.344594959099094211e-01,1.236213989083582640e-02,2.930670147985347196e+00
3.578105183067703532e-02,1.267266156168075364e+00,7.955874787963713723e-01,6.978522641449890207e-01
2.121372918191948287e-01,-2.663541472121532250e-01,8.970608124910045555e-03,4.831584871044497520e-01
9.522366828073473011e-01,3.384922868852535127e-01,8.452612897568191619e-03,1.603528688793357304e+00
7.057758529079309895e-01,2.178734123518014654e-01,1.433434256117965377e+00,6.327203337323815402e-02
1.469650365223490462e-01,4.740078251007961985e-02,1.459228194626927877e+00,1.438997909758152338e-01
3.409542531249937225e-01,1.434052085137188737e+00,2.288270305804898375e-01,2.305318114016677300e-02
3.809278176940118499e-01,3.389397821635089514e-01,7.131269046053327620e-02,5.906433086694219403e-01
3.689029004458381777e-01,1.534511824351387221e-01,1.711715689855618505e-01,1.109368726425136620e+00
1.745998892687118387e-01,2.631187987298051922e+00,5.812743978101364561e-02,2.412469353336865463e-01
8.375760930510998126e-01,1.621441213554982164e-01,8.813003588466641336e-01,2.251947210896154683e-01
8.304620214866207384e-01,-1.117676585966020708e+00,3.193983600674323714e-02,4.207184009806693159e-01
5.357018485671561914e-01,4.277626617601286152e-01,5.285757579240145665e-01,1.356276545570242464e-01
9.016203903609210091e-01,-1.073569133644964202e+00,9.514097566981882803e-02,2.990163648261648932e-01
4.979534551717883506e-01,-2.856873011525352668e-01,2.684616085335596591e-01,7.288236585101891540e-01
6.771315674416595876e-01,-1.383562402887673404e+00,8.165627448654363407e-01,4.977875641536014806e-01
2.877935164671245882e-01,1.565331858820894428e+00,9.309819509533667770e-01,1.592967869329325881e+00
5.339854107321764243e-01,5.364908715149701024e-01,9.075665671570743998e-01,2.827144187949523157e+00
2.629218401214621359e-01,4.143178301422401066e-01,1.168115838361908132e+00,7.199166789965720792e-01
3.401193852464545753e-01,1.776151741550182628e+00,3.142537663972735928e-01,9.479210405759137537e-01
1.875895116725998513e-01,2.883253071814565471e-01,5.730172822481724992e-01,1.902835075028117995e+00
8.488975008849118931e-01,1.424902126908929700e+00,2.512028648678617526e-01,6.292324333468943820e-01
3.530251962040481528e-01,6.474427421733177646e-01,8.495862903816590872e-02,1.018500540723553449e+00
6.364990001311755519e-01,8.674748153233269310e-01,1.172475176423303476e-02,7.509272801964305133e-01
9.337240598070850606e-02,2.262611979360444892e+00,3.194590962083443841e+00,1.222234811539776755e+00
